"focal","origin"
"Calle 13","Big Boy"
"Luny Tunes","Big Boy"
"Nicky Jam","Big Boy"
"Tony Dize","Big Boy"
"Voltio","Big Boy"
"Wisin & Yandel","Big Boy"
"GZA","Big Daddy Kane"
"Fat Joe","Big Daddy Kane"
"2Pac","Big Daddy Kane"
"Nas","Big Daddy Kane"
"Scarface","Big Daddy Kane"
"Brotha Lynch Hung","Big Daddy Kane"
"Beanie Sigel","Big Daddy Kane"
"The Game","Big Daddy Kane"
"Method Man","Big Daddy Kane"
"Gucci Mane","Big Daddy Kane"
"Papoose","Big Daddy Kane"
"Rhymefest","Big Daddy Kane"
"Phat Kat","Big Daddy Kane"
"Brother Ali","Big Daddy Kane"
"Brand Nubian","Big Daddy Kane"
"MC Homeless","Big Daddy Kane"
"UGK","Big Daddy Kane"
"Cormega","Big Daddy Kane"
"Freeway","Big Daddy Kane"
"Ransom","Big Daddy Kane"
"Sean Price","Big Daddy Kane"
"Grip Grand","Big Daddy Kane"
"Afroman","Big Daddy Kane"
"Del the Funky Homosapien","Big Daddy Kane"
"Geto Boys","Big Daddy Kane"
"Canibus","Big Daddy Kane"
"Skillz","Big Daddy Kane"
"Daddy Yankee","Big Daddy Kane"
"Consequence","Big Daddy Kane"
"Jeru the Damaja","Big Daddy Kane"
"Mic Geronimo","Big Daddy Kane"
"Atmosphere","Big Daddy Kane"
"Q-Tip","Big Daddy Kane"
"Capone-N-Noreaga","Big Daddy Kane"
"Jahir & The Experiment","Big Daddy Kane"
"Omar Cruz","Big Daddy Kane"
"Grand Daddy I.U.","Big Daddy Kane"
"Breez Evahflowin","Big Daddy Kane"
"Soul Purpose","Big Daddy Kane"
"Maino","Big Daddy Kane"
"Pharoahe Monch","Big Daddy Kane"
"Ill Biskits","Big Daddy Kane"
"MC Lyte","Big Daddy Kane"
"MC Ren","Big Daddy Kane"
"Naughty by Nature","Big Daddy Kane"
"MC Hammer","Big Daddy Kane"
"Grand Puba","Big Daddy Kane"
"Leaders of the New School","Big Daddy Kane"
"Kwamé","Big Daddy Kane"
"Big L","Big Daddy Kane"
"Chubb Rock","Big Daddy Kane"
"Raekwon","Big Daddy Kane"
"Company Flow","Big Daddy Kane"
"Lordz of Brooklyn","Big Daddy Kane"
"Reef the Lost Cauze","Big Daddy Kane"
"Black Thought","Big Daddy Kane"
"El-P","Big Daddy Kane"
"Eminem","Big Daddy Kane"
"Fabolous","Big Daddy Kane"
"Jay-Z","Big Daddy Kane"
"Nelly","Big Daddy Kane"
"Pimp C","Big Daddy Kane"
"Snoop Dogg","Big Daddy Kane"
"The Notorious B.I.G.","Big Daddy Kane"
"Bone Thugs-N-Harmony","Big Jaz"
"Papoose","Big L"
"Jadakiss","Big L"
"50 Cent","Big L"
"Grafh","Big L"
"Mac Miller","Big L"
"Your Old Droog","Big L"
"A$AP Twelvyy","Big L"
"Cannibal Ox","Big L"
"Axel Leon","Big L"
"Black Rob","Big L"
"DMX","Big L"
"Freeway","Big L"
"Styles P","Big L"
"Z-Ro","Big Mello"
"Slim Thug","Big Moe"
"Jedi Mind Tricks","Big Pun"
"N.O.R.E.","Big Pun"
"Termanology","Big Pun"
"Ransom","Big Pun"
"Garcia","Big Pun"
"Flo Rida","Big Pun"
"R-Swift","Big Pun"
"A$AP Twelvyy","Big Pun"
"Axel Leon","Big Pun"
"Omar Cruz","Big Punisher"
"Tre Coast","Big Sean"
"Trill Sammy","Big Sean"
"Turk","Big Tymers"
"Chingy","Big Tymers"
"Mr. Scruff","Big Youth"
"Boogie Down Productions","Big Youth"
"Damian Marley","Big Youth"
"K-the-I???","Bigg Jus"
"Fat Tony","Bikini Kill"
"Princess Nokia","Bikini Kill"
"Chris Rock","Bill Cosby"
"Eddie Murphy","Bill Cosby"
"Eric Bogosian","Bill Cosby"
"Garrison Keillor","Bill Cosby"
"Martin Lawrence","Bill Cosby"
"Paul Mooney","Bill Cosby"
"Robin Williams","Bill Cosby"
"Sinbad","Bill Cosby"
"Spalding Gray","Bill Cosby"
"Whoopi Goldberg","Bill Cosby"
"Rick Wakeman","Bill Evans"
"Matthew Shipp","Bill Evans"
"DJ Spooky","Bill Laswell"
"Señor Coconut","Bill Laswell"
"Travis Barker","Bill Stevenson"
"Tommy Guerrero","Bill Withers"
"Aloe Blacc","Bill Withers"
"Philadelphia Experiment","Bill Withers"
"L'Orange","Billie Holiday"
"Gil Scott-Heron","Billie Holiday"
"Kenny Burrell","Billy Bauer"
"Jamie T.","Billy Bragg"
"Quincy Jones","Billy Eckstine"
"Common Market","Binary Star"
"Lil Wayne","Birdman"
"Soulja Boy Tell Em","Birdman"
"Big Kuntry King","Birdman"
"Plies","Birdman"
"Webbie","Birdman"
"Rich Gang","Birdman"
"Young Thug","Birdman"
"Rich Homie Quan","Birdman"
"Kevin Gates","Birdman"
"Caskey","Birdman"
"Youssoupha","Bisso Na Bisso"
"The Notorious B.I.G.","Biz Markie"
"Busta Rhymes","Biz Markie"
"Snoop Dogg","Biz Markie"
"Gucci Mane","Biz Markie"
"Rhymefest","Biz Markie"
"Funkdoobiest","Biz Markie"
"Cormega","Biz Markie"
"Digital Underground","Biz Markie"
"Ol' Dirty Bastard","Biz Markie"
"Kool Keith","Biz Markie"
"Kid Acne","Biz Markie"
"Beastie Boys","Biz Markie"
"Acafool","Biz Markie"
"MC Lars","Biz Markie"
"Jahir & The Experiment","Biz Markie"
"Majik Most","Biz Markie"
"Scratch","Biz Markie"
"Young MC","Biz Markie"
"Freestyle Fellowship","Biz Markie"
"iLoveMakonnen","Biz Markie"
"DRAM","Biz Markie"
"Das EFX","Biz Markie"
"Craig Mack","Biz Markie"
"Fu-Schnickens","Biz Markie"
"Rahzel","Biz Markie"
"Alliance Ethnik","Biz Markie"
"3rd Bass","Biz Markie"
"Goodie Mob","Biz Markie"
"Jazzyfatnastees","Biz Markie"
"Pete Rock","Biz Markie"
"Q-Tip","Biz Markie"
"Soul II Soul","Biz Markie"
"The Pharcyde","Biz Markie"
"The Roots","Biz Markie"
"Kid Koala","Björk"
"Ice-T","Black Flag"
"Beastie Boys","Black Flag"
"Fat Tony","Black Flag"
"Clear Soul Forces","Black Milk"
"Nolan the Ninja","Black Milk"
"Sean Price","Black Moon"
"Eyedea & Abilities","Black Moon"
"Slum Village","Black Moon"
"Heltah Skeltah","Black Moon"
"Big L","Black Moon"
"Blahzay Blahzay","Black Moon"
"Finsta Bundy","Black Moon"
"Mobb Deep","Black Moon"
"O.G.C.","Black Moon"
"Ruste Juxx","Black Moon"
"Shadez Of Brooklyn","Black Moon"
"Petey Pablo","Black Rob"
"Body Count","Black Sabbath"
"Wyclef Jean","Black Sheep"
"Redman","Black Sheep"
"Slum Village","Black Sheep"
"Onry Ozzborn","Black Sheep"
"Sleep","Black Sheep"
"The Lost Boyz","Black Sheep"
"Tanya Morgan","Black Star"
"Spank Rock","Black Star"
"Common Market","Black Star"
"Keelay & Zaire","Black Star"
"Blu","Black Star"
"Porter Ray","Black Star"
"K'NAAN","Black Star Musical Club"
"Phonte","Black Thought"
"Blue Scholars","Blackalicious"
"Common Market","Blackalicious"
"Cool Calm Pete","Blackalicious"
"The Foreign Exchange","Blackalicious"
"The Saturday Knights","Blackalicious"
"Micranots","Blackstar"
"Pretty Ricky","Blackstreet"
"T-Pain","Blackstreet"
"Sisqó","Blackstreet"
"Cormega","Blaq Poet"
"Big Noyd","Blaq Poet"
"Big Twin","Blaq Poet"
"G. Dep","Blaq Poet"
"Hannibal Stax","Blaq Poet"
"Killa Sha","Blaq Poet"
"Nature","Blaq Poet"
"Shabaam Sahdeeq","Blaq Poet"
"Shwayze","Blessid Union of Souls"
"Jackie Leven","Blind Willie McTell"
"Machine Gun Kelly","blink-182"
"Princess Superstar","Blondie"
"3rd Bass","Blood, Sweat & Tears"
"The Diplomats","Bloodshed"
"2Mex","Blowfly"
"Songodsuns","Blowfly"
"Nate Dogg","Blowfly"
"Biz Markie","Blowfly"
"Luther Campbell","Blowfly"
"Bloodhound Gang","Blowfly"
"Digital Underground","Blowfly"
"Eddie Murphy","Blowfly"
"Kool Keith","Blowfly"
"Ol' Dirty Bastard","Blowfly"
"Red Hot Chili Peppers","Blowfly"
"The 2 Live Crew","Blowfly"
"Tone-Loc","Blowfly"
"Travie McCoy","Blue Note"
"The Nomads","Blue Öyster Cult"
"Macklemore & Ryan Lewis","Blueprint"
"Macklemore","Blueprint"
"Jamie T.","Blur"
"Caural","Boards of Canada"
"Lone","Boards of Canada"
"Cex","Boards of Canada"
"G. Love & Special Sauce","Bob Dylan"
"Wyclef Jean","Bob Dylan"
"Everlast","Bob Dylan"
"Skylar Grey","Bob Dylan"
"Jackie Leven","Bob Dylan"
"Busta Rhymes","Bob Marley"
"B Real","Bob Marley"
"Ozomatli","Bob Marley"
"K'NAAN","Bob Marley"
"Wyclef Jean","Bob Marley"
"Truth Universal","Bob Marley"
"Michael Franti & Spearhead","Bob Marley"
"Spearhead","Bob Marley"
"Michael Franti","Bob Marley"
"EPMD","Bob Marley"
"Arrested Development","Bob Marley"
"Jahir & The Experiment","Bob Marley"
"Madcon","Bob Marley"
"Heavy D","Bob Marley"
"Fugees","Bob Marley"
"Flatbush Zombies","Bob Marley"
"Deniro Farrar","Bob Marley"
"Shinehead","Bob Marley"
"Melon Diesel","Bob Marley"
"Shaggy","Bob Marley"
"Max Herre","Bob Marley"
"Capleton","Bob Marley"
"Damian Marley","Bob Marley"
"Kid Rock","Bob Seger"
"Gym Class Heroes","Bobby Brown"
"Pretty Ricky","Bobby Brown"
"R. Kelly","Bobby Brown"
"Montell Jordan","Bobby Brown"
"Wayne Wonder","Bobby Brown"
"Sisqó","Bobby Brown"
"Wisin & Yandel","Bobby Digital"
"Daddy Yankee","Bobby Digital"
"Rahzel","Bobby McFerrin"
"Montell Jordan","Bobby Womack"
"Big K.R.I.T.","Bobby Womack"
"Lyfe Jennings","Bobby Womack"
"Coal Chamber","Body Count"
"Korn","Body Count"
"Limp Bizkit","Body Count"
"Slipknot","Body Count"
"Staind","Body Count"
"ESG","Bohannon"
"Skylar Grey","Bon Iver"
"Atello","Bon Jovi"
"Yung Joc","Bone Crusher"
"Unk","Bone Crusher"
"Chamillionaire","Bone Thugs-N-Harmony"
"Lil Wayne","Bone Thugs-N-Harmony"
"Wiz Khalifa","Bone Thugs-N-Harmony"
"k-os","Bone Thugs-N-Harmony"
"ABN","Bone Thugs-N-Harmony"
"T-Pain","Bone Thugs-N-Harmony"
"Sean Kingston","Bone Thugs-N-Harmony"
"Yo Majesty","Bone Thugs-N-Harmony"
"A$AP Ferg","Bone Thugs-N-Harmony"
"Pouya","Bone Thugs-N-Harmony"
"Flatbush Zombies","Bone Thugs-N-Harmony"
"Main Attrakionz","Bone Thugs-N-Harmony"
"MGK","Bone Thugs-N-Harmony"
"K Camp","Bone Thugs-N-Harmony"
"T. Mills","Bone Thugs-N-Harmony"
"Aaliyah","Bone Thugs-N-Harmony"
"Crystal Caines","Bone Thugs-N-Harmony"
"Juvenile","Bone Thugs-N-Harmony"
"Master P","Bone Thugs-N-Harmony"
"OutKast","Bone Thugs-N-Harmony"
"Poetic Hustla'z","Bone Thugs-N-Harmony"
"Soulja Boy Tell Em","Bone Thugs-N-Harmony"
"Timbaland","Bone Thugs-N-Harmony"
"Travis Mills","Bone Thugs-N-Harmony"
"Wataz","Bone Thugs-N-Harmony"
"Xzibit","Bone Thugs-N-Harmony"
"Baby Bash","Boo-Yaa T.R.I.B.E."
"Federation","Boo-Yaa T.R.I.B.E."
"Guerilla Black","Boo-Yaa T.R.I.B.E."
"Mims","Boo-Yaa T.R.I.B.E."
"P.O.D.","Boo-Yaa T.R.I.B.E."
"The Game","Boo-Yaa T.R.I.B.E."
"Xzibit","Boo-Yaa T.R.I.B.E."
"GZA","Boogie Down Productions"
"2Pac","Boogie Down Productions"
"Busta Rhymes","Boogie Down Productions"
"Aceyalone","Boogie Down Productions"
"Nas","Boogie Down Productions"
"The Coup","Boogie Down Productions"
"Wu-Tang Clan","Boogie Down Productions"
"Ice Cube","Boogie Down Productions"
"Ghostface Killah","Boogie Down Productions"
"Method Man","Boogie Down Productions"
"N.O.R.E.","Boogie Down Productions"
"Talib Kweli","Boogie Down Productions"
"Brand Nubian","Boogie Down Productions"
"Aesop Rock","Boogie Down Productions"
"DJ Hi-Tek","Boogie Down Productions"
"D-Block","Boogie Down Productions"
"Lords of the Underground","Boogie Down Productions"
"Nyoil","Boogie Down Productions"
"Spearhead","Boogie Down Productions"
"Ol' Dirty Bastard","Boogie Down Productions"
"Gravediggaz","Boogie Down Productions"
"Ruff Ryders","Boogie Down Productions"
"De La Soul","Boogie Down Productions"
"Mos Def","Boogie Down Productions"
"MC Breed","Boogie Down Productions"
"AZ","Boogie Down Productions"
"Keith Murray","Boogie Down Productions"
"Jeru the Damaja","Boogie Down Productions"
"Atmosphere","Boogie Down Productions"
"Jungle Brothers","Boogie Down Productions"
"Blac Haze","Boogie Down Productions"
"Common Market","Boogie Down Productions"
"Capone-N-Noreaga","Boogie Down Productions"
"Onyx","Boogie Down Productions"
"Mr. Scruff","Boogie Down Productions"
"Mr. Lif","Boogie Down Productions"
"Tha Alkaholiks","Boogie Down Productions"
"Darc Mind","Boogie Down Productions"
"Eligh","Boogie Down Productions"
"Pete Rock","Boogie Down Productions"
"D.I.T.C.","Boogie Down Productions"
"Bob Da Rage Sense","Boogie Down Productions"
"Rob Sonic","Boogie Down Productions"
"The Beatnuts","Boogie Down Productions"
"Definition of Sound","Boogie Down Productions"
"Spectre","Boogie Down Productions"
"Dr. Dre","Boogie Down Productions"
"MC Lyte","Boogie Down Productions"
"MC Ren","Boogie Down Productions"
"Irv Gotti","Boogie Down Productions"
"Pop Da Brown Hornet","Boogie Down Productions"
"Freestyle Fellowship","Boogie Down Productions"
"N.W.A","Boogie Down Productions"
"Steady B","Boogie Down Productions"
"Just-Ice","Boogie Down Productions"
"Leaders of the New School","Boogie Down Productions"
"Salt-N-Pepa","Boogie Down Productions"
"Ed O.G & da Bulldogs","Boogie Down Productions"
"Kam","Boogie Down Productions"
"Queen Latifah","Boogie Down Productions"
"Pete Rock & C.L. Smooth","Boogie Down Productions"
"Gang Starr","Boogie Down Productions"
"Main Source","Boogie Down Productions"
"Organized Konfusion","Boogie Down Productions"
"Boo-Yaa T.R.I.B.E.","Boogie Down Productions"
"Raekwon","Boogie Down Productions"
"Company Flow","Boogie Down Productions"
"Def Jef","Boogie Down Productions"
"Twin Hype","Boogie Down Productions"
"The Disposable Heroes of Hiphoprisy","Boogie Down Productions"
"DJ Krush","Boogie Down Productions"
"The Neptunes","Boogie Down Productions"
"Cannibal Ox","Boogie Down Productions"
"Movement Ex","Boogie Down Productions"
"Cocoa Brovaz","Boogie Down Productions"
"A Tribe Called Quest","Boogie Down Productions"
"Common","Boogie Down Productions"
"Craig Mack","Boogie Down Productions"
"Fugees","Boogie Down Productions"
"Redman","Boogie Down Productions"
"The Roots","Boogie Down Productions"
"Russell Gunn","Booker Little"
"Positively Testcard","Booker T. Jones"
"Ace Hood","Boosie Badazz"
"Maine Musik","Boosie Badazz"
"MO3","Boosie Badazz"
"The Diplomats","Boot Camp Clik"
"The Living Legends","Boot Camp Clik"
"Purple City","Boot Camp Clik"
"Black Market Militia","Boot Camp Clik"
"G-Unit","Boot Camp Clik"
"Jedi Mind Tricks","Boot Camp Clik"
"Non-Phixion","Boot Camp Clik"
"Riviera Regime","Boot Camp Clik"
"Special Teamz","Boot Camp Clik"
"Digital Underground","Bootsy Collins"
"OutKast","Bootsy Collins"
"Sleepy Brown","Bootsy Collins"
"Dudley Perkins","Bootsy Collins"
"Eazy-E","Bootsy Collins"
"N.W.A","Bootsy Collins"
"Schoolly D","Bootsy Collins"
"DRAM","Bootsy Collins"
"Biz Markie","Bootsy Collins"
"Tha Eastsidaz","Bootsy Collins"
"Low Profile","Bootsy Collins"
"Freekbass","Bootsy's Rubber Band"
"Girl Talk","Boredoms"
"Busta Rhymes","Bounty Killer"
"Dizzee Rascal","Bounty Killer"
"Wisin & Yandel","Bounty Killer"
"Daddy Yankee","Bounty Killer"
"Lord Kossity","Bounty Killer"
"Yung Berg","Bow Wow"
"Jamal","Bow Wow"
"Rob $tone","Bow Wow"
"Tyrese","Boyz II Men"
"Lil' J","Boyz II Men"
"Sisqó","Boyz II Men"
"Sons of Funk","Boyz II Men"
"The National Parcs","Bran Van 3000"
"M-1","Brand Nubian"
"Boot Camp Clik","Brand Nubian"
"Rhymefest","Brand Nubian"
"The Roots","Brand Nubian"
"Black Moon","Brand Nubian"
"One Be Lo","Brand Nubian"
"Lupe Fiasco","Brand Nubian"
"Common","Brand Nubian"
"Brother Ali","Brand Nubian"
"Nyoil","Brand Nubian"
"Cypress Hill","Brand Nubian"
"Canibus","Brand Nubian"
"k-os","Brand Nubian"
"Slum Village","Brand Nubian"
"J-Live","Brand Nubian"
"Grand Daddy I.U.","Brand Nubian"
"Soul Purpose","Brand Nubian"
"D.I.T.C.","Brand Nubian"
"Goodie Mob","Brand Nubian"
"Fugees","Brand Nubian"
"Digable Planets","Brand Nubian"
"Rahzel","Brand Nubian"
"Dynas","Brand Nubian"
"Company Flow","Brand Nubian"
"Jurassic 5","Brand Nubian"
"Mos Def","Brand Nubian"
"Talib Kweli","Brand Nubian"
"Hot Chip","Brian Eno"
"Subtle","Brian Eno"
"Flying Lotus","Brian Eno"
"DJ Shadow","Brian Eno"
"DJ Spooky","Brian Eno"
"Global Communication","Brian Eno"
"Marxman","Brian Eno"
"Wolfgang Voigt","Brian Eno"
"Pole","Brian Eno"
"Arto Lindsay","Brian Eno"
"Carl Thomas","Brian McKnight"
"Nicki Minaj","Britney Spears"
"Kid Sister","Britney Spears"
"RJD2","Broadcast"
"Odd Nosdam","Broadcast"
"Tech N9ne","Brotha Lynch Hung"
"50 Cent","Brotha Lynch Hung"
"Clipse","Brotha Lynch Hung"
"Eminem","Brotha Lynch Hung"
"Obie Trice","Brotha Lynch Hung"
"Twiztid","Brotha Lynch Hung"
"Macklemore","Brother Ali"
"Everlast","Bruce Springsteen"
"Steve Aoki","BT"
"3LAU","BT"
"Upchurch","Bubba Sparxxx"
"Boondox","Bubba Sparxxx"
"Big B","Bubba Sparxxx"
"Rhymefest","Buckshot"
"Matthew Shipp","Bud Powell"
"Russell Gunn","Buddy Rich & His Big Band"
"Why?","Built to Spill"
"Busta Rhymes","Buju Banton"
"Denzel Curry","Buju Banton"
"Hector & Tito","Buju Banton"
"Z-Ro","Bun B"
"Lil Wayne","Bun B"
"T.I.","Bun B"
"Dizzee Rascal","Bun B"
"Young Jeezy","Bun B"
"A$AP Rocky","Bun B"
"Boosie Badazz","Bun B"
"Waka Flocka Flame","Bun B"
"Curren$y","Bun B"
"Yelawolf","Bun B"
"Ronnie Lott","Bun B"
"Capleton","Bunny Wailer"
"Damian Marley","Bunny Wailer"
"Wayne Wonder","Burning Spear"
"Shinehead","Burning Spear"
"N.E.R.D","Burt Bacharach"
"The Free Design","Burt Bacharach"
"Sergio Mendes","Burt Bacharach"
"Chakuza","Bushido"
"Fat Pat","Bushwick Bill"
"Gangsta Pat","Bushwick Bill"
"Xzibit","Busta Rhymes"
"Busta Flex","Busta Rhymes"
"Lethal Bizzle","Busta Rhymes"
"N.O.R.E.","Busta Rhymes"
"Jadakiss","Busta Rhymes"
"Coolio","Busta Rhymes"
"Petey Pablo","Busta Rhymes"
"Kardinal Offishall","Busta Rhymes"
"Blackalicious","Busta Rhymes"
"Flatbush Zombies","Busta Rhymes"
"Ski Mask the Slump God","Busta Rhymes"
"Goodie Mob","Busta Rhymes"
"Ja Rule","Busta Rhymes"
"Ludacris","Busta Rhymes"
"Nelly","Busta Rhymes"
"Rah Digga","Busta Rhymes"
"Rampage","Busta Rhymes"
"Spragga Benz","Busta Rhymes"
"LL Cool J","Busy Bee"
"DJ Jazzy Jeff & the Fresh Prince","Busy Bee"
"Kool Moe Dee","Busy Bee"
"Monster","Buzzcocks"
"Beeda Weeda","C-BO"
"Westside Connection","C-BO"
"J. Stalin","C-BO"
"Messy Marv","C-BO"
"Mistah F.A.B.","C-BO"
"Tech N9ne","C-BO"
"Young Meek","C-BO"
"Gucci Mane","C-Murder"
"Boosie Badazz","C-Murder"
"Thunderheist","C+C Music Factory"
"SahBabii","Ca$h Out"
"23 Skidoo","Cabaret Voltaire"
"Sergio Mendes","Caetano Veloso"
"Arto Lindsay","Caetano Veloso"
"Calle 13","Café Tacuba"
"Y@K Ballz","Cage"
"Giant Panda","Cal Tjader"
"Brown Boy","Cali Life Style"
"Truth Universal","Calypso Rose"
"Lloyd Banks","Cam'ron"
"50 Cent","Cam'ron"
"Re-Up Gang","Cam'ron"
"Earl Sweatshirt","Cam'ron"
"French Montana","Cam'ron"
"Action Bronson","Cam'ron"
"Al-Doe","Cam'ron"
"Kodie Shane","Cam'ron"
"The Game","Cam'ron"
"The Weeknd","Cam'ron"
"Snoop Dogg","Cameo"
"Daz Dillinger","Cameo"
"Soopafly","Cameo"
"Knoc-Turn'al","Cameo"
"Jungle Brothers","Cameo"
"Sa-Ra","Cameo"
"Compton's Most Wanted","Cameo"
"Dr. Dre","Cameo"
"N.W.A","Cameo"
"Tha Eastsidaz","Cameo"
"Kidz in the Hall","Camp Lo"
"Mac Miller","Camp Lo"
"Wale","Camp Lo"
"ScHoolboy Q","Camp Lo"
"Axel Leon","Canibus"
"P.O.S","Cannibal Ox"
"Lyrics Born","Cannibal Ox"
"Grayskul","Cannibal Ox"
"Wayne Wonder","Capleton"
"Brown Boy","Capone"
"Cam'ron","Capone-N-Noreaga"
"Beanie Sigel","Capone-N-Noreaga"
"Jadakiss","Capone-N-Noreaga"
"Re-Up Gang","Capone-N-Noreaga"
"50 Cent","Capone-N-Noreaga"
"Cormega","Capone-N-Noreaga"
"DMX","Capone-N-Noreaga"
"G-Unit","Capone-N-Noreaga"
"Jim Jones","Capone-N-Noreaga"
"Joe Budden","Capone-N-Noreaga"
"Juelz Santana","Capone-N-Noreaga"
"Faust","Captain Beefheart"
"Steve Aoki","Carl Cox"
"Andy Montañez","Carlos Puebla"
"Paul Wall","Cash Money Millionaires"
"Webbie","Cash Money Millionaires"
"YoungBloodZ","Cash Money Millionaires"
"CJ Flemings","Cassidy"
"Gil Scott-Heron","Cassius Clay"
"Matthew Shipp","Cecil Taylor"
"William Parker","Cecil Taylor"
"Dopestyle 1231","Ced G"
"Chamillionaire","Cee Lo Green"
"Rhymefest","Cee Lo Green"
"Lupe Fiasco","Cee Lo Green"
"Spank Rock","Cee Lo Green"
"Lyrics Born","Cee Lo Green"
"Bluey Robinson","Cee Lo Green"
"Jamie Lidell","Cee Lo Green"
"Justin Timberlake","Cee Lo Green"
"Ivy Queen","Celia Cruz"
"India","Celia Cruz"
"Imani Coppola","Chaka Khan"
"Estelle","Chaka Khan"
"Missy Elliott","Chaka Khan"
"Total","Chaka Khan"
"Yelawolf","Chamillionaire"
"Alta","Chance the Rapper"
"D/C","Chance the Rapper"
"Dua Lipa","Chance the Rapper"
"Elohim","Chance the Rapper"
"Sir Mix-A-Lot","Channel One"
"A Tribe Called Quest","Charles Mingus"
"Gil Scott-Heron","Charles Mingus"
"Adrian Younge","Charles Stepney"
"Afrika Bambaataa","Charles Wright"
"Damian Marley","Charlie Chaplin"
"Kenny Burrell","Charlie Christian"
"William Parker","Charlie Haden"
"Miri Ben-Ari","Charlie Parker"
"Bill Cosby","Charlie Parker"
"The Sirens","Cheap Trick"
"Method Man","Cheech & Chong"
"Cypress Hill","Cheech & Chong"
"Bad Boy Joe","Chep Nunez"
"ESG","Chic"
"The Egyptian Lover","Chic"
"Fat Nick","Chief Keef"
"Juice WRLD","Chief Keef"
"Lil Boom","Chief Keef"
"Yung Bans","Chief Keef"
"Alex Angelo","Childish Gambino"
"Rexx Life Raj","Childish Gambino"
"Rich Brian","Childish Gambino"
"Bow Wow","Chingy"
"Anthony Lewis","Chris Brown"
"Ar'mon & Trey","Chris Brown"
"Ayo & Teo","Chris Brown"
"Bryson Tiller","Chris Brown"
"Chris Sails","Chris Brown"
"Jawan Harris","Chris Brown"
"Jay Park","Chris Brown"
"Jovanie","Chris Brown"
"Malachiae Warren","Chris Brown"
"Maurice Moore","Chris Brown"
"SoMo","Chris Brown"
"Tre Coast","Chris Brown"
"Tryon","Chris Brown"
"Vice Menta","Chris Brown"
"Yashua","Chris Brown"
"Young Killer","Chris Brown"
"Zayion McCall","Chris Brown"
"Kevin Hart","Chris Rock"
"DJ Spooky","Christian Marclay"
"The Notorious B.I.G.","Chubb Rock"
"J-Live","Chubb Rock"
"Freestyle Fellowship","Chubb Rock"
"Das EFX","Chubb Rock"
"Craig Mack","Chubb Rock"
"Big Pun","Chubb Rock"
"Fat Joe","Chubb Rock"
"Jeru the Damaja","Chubb Rock"
"Wale","Chuck Brown"
"Trouble Funk","Chuck Brown & the Soul Searchers"
"Talib Kweli","Chuck D"
"Canibus","Chuck D"
"AZ","Chuck D"
"El-P","Chuck D"
"Breez Evahflowin","Chuck D"
"Pharoahe Monch","Chuck D"
"Sticky Fingaz","Chuck D"
"Quincy Jones","Clark Terry"
"Marquis Hill","Clifford Brown"
"Digital Underground","Clinton"
"Tyler, The Creator","Clipse"
"Pusha T","Clipse"
"J. Cole","Clipse"
"Meek Mill","Clipse"
"Far East Movement","Clipse"
"Freddie Gibbs","Clipse"
"Odd Future","Clipse"
"Spoek Mathambo","cLOUDDEAD"
"Montell Jordan","Club Nouveau"
"Emile Haynie","Cochise"
"Shaggy","Cocoa Tea"
"Gym Class Heroes","Coheed and Cambria"
"Brand Nubian","Cold Crush Brothers"
"Public Enemy","Cold Crush Brothers"
"Ice-T","Cold Crush Brothers"
"Ultramagnetic MC's","Cold Crush Brothers"
"Jungle Brothers","Cold Crush Brothers"
"The 2 Live Crew","Cold Crush Brothers"
"The Sugarhill Gang","Cold Crush Brothers"
"Kool Moe Dee","Cold Crush Brothers"
"Leaders of the New School","Cold Crush Brothers"
"Stetsasonic","Cold Crush Brothers"
"Kurtis Blow","Cold Crush Brothers"
"Audio Two","Cold Crush Brothers"
"Mantronix","Cold Crush Brothers"
"3rd Bass","Cold Crush Brothers"
"Doug E. Fresh","Cold Crush Brothers"
"Big L","Cold Crush Four"
"Mr. Scruff","Coldcut"
"Daedelus","Coldcut"
"DJ Krush","Coldcut"
"Lyrycyst","Coldplay"
"Flatbush Zombies","Coldplay"
"Sarah Ross","Colt Ford"
"Jungle Brothers","Commodores"
"Rhymefest","Common"
"Kanye West","Common"
"Lupe Fiasco","Common"
"Brother Ali","Common"
"Murs","Common"
"Danny!","Common"
"Aesop Rock","Common"
"Amir Sulaiman","Common"
"Cyne","Common"
"Beans","Common"
"Cee Lo Green","Common"
"Planet Asia","Common"
"Flobots","Common"
"will.i.am","Common"
"Jurassic 5","Common"
"Oddisee","Common"
